,name,price,store,image,story,category,location,vegan
102,zucchini product of mexico 3.28/kg,$1.49 lb,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/695c1f52-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
103,campbell's chunky soup 540 ml,$2.00,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/697a171e-38c5-11ec-b743-0efae983d694/medium,save 99¢,meat,Kingston,FALSE
104,"dempster's tortillas 10""",$2.49,FreshCo,https://cdn.flippenterprise.net/page_items/240788960/1635861871/large.jpg,save $1.20,meat,Kingston,FALSE
105,grace corn meal 2 kg,$2.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/68a5a934-38c5-11ec-b743-0efae983d694/medium,save $1.30,meat,Kingston,FALSE
106,healthy choice power bowls 262-276 g gardein meat alternatives 226-390 g selected varieties,$3.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/6984f8aa-38c5-11ec-8ea5-0ec6e2beadde/medium,save up to $2,meat,Kingston,FALSE
107,"mina halal tikka masala, butter chicken or chicken shawarma frozen 763-800 g",$9.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788951/1635861864/large.jpg,save $2,meat,Kingston,FALSE
108,"prime raised without antibiotics breaded chicken, stuffed chicken breasts or wings frozen 560-695 g",$9.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/6ac20b9a-38c5-11ec-8ea5-0ec6e2beadde/medium,save up to $2,meat,Kingston,FALSE
109,santosh naan 500 g signature passion rolls 4-6 pk,$1.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829491/6ce172f8-38c5-11ec-bb2e-0efae983d694/medium,save up to 80¢,meat,Kingston,FALSE
110,stouffer's diner classics 244-282 g,$2.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/69497d98-38c5-11ec-b743-0efae983d694/medium,save $1,meat,Kingston,FALSE
111,walkerswood jerk seasoning 280 g,$3.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/66966d72-38c5-11ec-8ea5-0ec6e2beadde/medium,save $1,meat,Kingston,FALSE
112,"campbell's cream of mushroom, chicken noodle, tomato, vegetable condensed soup 284 ml selected varieties",$0.88,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/68e88434-38c5-11ec-b743-0efae983d694/medium,save 29¢,meat,Kingston,FALSE
113,maxwell house coffee pods 12 pk nabob bagged coffee 300 g,$5.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/675becf0-38c5-11ec-b743-0efae983d694/medium,save up to $3,meat,Kingston,FALSE
114,minute maid orange juice five alive beverages 1.75 l,$2.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/671a5cd6-38c5-11ec-b743-0efae983d694/medium,save 50¢,meat,Kingston,FALSE
115,nescafé rich instant coffee 100-170 g taster's choice instant coffee 100 g nesquick 540 g 510-700 ml,$3.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829486/653ad7d8-38c5-11ec-b137-0ec6e2beadde/medium,save up to $3.50,meat,Kingston,FALSE
116,nestle pure life spring water 24x500 ml,$2.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829486/659c31f4-38c5-11ec-b137-0ec6e2beadde/medium,save $1,meat,Kingston,FALSE
117,easy carve pork rib roast,$2.99 lb,Metro,https://cdn.flippenterprise.net/page_items/240948745/1636056069/large.jpg,,meat,Kingston,FALSE
118,fresh chicken thighs boneless skinless value pack,$6.99 lb,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839250/8000e842-3b17-11ec-a114-0e7faade0358/medium,,meat,Kingston,FALSE
119,fresh chicken wings,$3.99 lb,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839250/76efde5c-3b17-11ec-a114-0e7faade0358/medium,,meat,Kingston,FALSE
120,fresh skinless chicken breast,$3.44 lb,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839229/461d1088-3b17-11ec-ae01-0e7faade0358/medium,,meat,Kingston,FALSE
121,fresh turkey breast fillets,$6.99 lb,Metro,https://cdn.flippenterprise.net/page_items/240948773/1636056087/large.jpg,,meat,Kingston,FALSE
122,greenfield natural meat co. carving smoked ham,$3.29 /100g,Metro,https://cdn.flippenterprise.net/page_items/240949066/1636056070/large.jpg,,meat,Kingston,FALSE
123,greenfield natural meat co. sliced deli meat,$6.99,Metro,https://cdn.flippenterprise.net/page_items/240949039/1636056069/large.jpg,,meat,Kingston,FALSE
124,irresistibles artisan angus roast beef,$3.69 /100g,Metro,https://cdn.flippenterprise.net/page_items/240948937/1636056051/large.jpg,,meat,Kingston,FALSE
125,irresistibles artisan classico prosciutto,$3.99 /100g,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839256/78a80cb0-3b17-11ec-8a88-0efae983d694/medium,,meat,Kingston,FALSE
126,irresistibles artisan hardwood smoked ham or pork loin,$3.29 /100g,Metro,https://cdn.flippenterprise.net/page_items/240948936/1636056050/large.jpg,,meat,Kingston,FALSE
127,"irresistibles artisan montreal smoked meat, corned beef or pastrami",$3.49 /100g,Metro,https://cdn.flippenterprise.net/page_items/240948929/1636056035/large.jpg,,meat,Kingston,FALSE
128,irresistibles artisan porchetta,$3.29 /100g,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839256/782577c8-3b17-11ec-8a88-0efae983d694/medium,,meat,Kingston,FALSE
129,irresistibles artisan salami,$3.99 /100g,Metro,https://cdn.flippenterprise.net/page_items/240948934/1636056049/large.jpg,,meat,Kingston,FALSE
130,irresistibles artisan turkey breast or arla havarti,$2.49 /100g,Metro,https://cdn.flippenterprise.net/page_items/240939131/1636056013/large.jpg,,meat,Kingston,FALSE
131,irresistibles egg whites,$2.99,Metro,https://cdn.flippenterprise.net/page_items/240950479/1636056071/large.jpg,,meat,Kingston,FALSE
132,irresistibles meat pie,$5.99,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839250/7cdb47ca-3b17-11ec-a114-0e7faade0358/medium,,meat,Kingston,FALSE
133,irresistibles naturalia pork tourtière,$5.99,Metro,https://cdn.flippenterprise.net/page_items/240948943/1636056113/large.jpg,,meat,Kingston,FALSE
134,irresistibles or lean cuisine entrées,3/ $8.00,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839268/44bd59be-3b17-11ec-8cb5-0edc53c25ee6/medium,,meat,Kingston,FALSE
135,irresistibles smoked salmon,$8.99,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/53d1dd62-3b17-11ec-ac43-0ec6e2beadde/medium,,meat,Kingston,FALSE
136,janes little wins chicken and vegetable strips or nuggets,$6.99,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839250/73994a36-3b17-11ec-a114-0e7faade0358/medium,5 bonus miles when you buy 1,meat,Kingston,FALSE
