,item,category,name,price,store,image,story,vegan,foods,real price,location
86,celery,produce,Bunch spinach product of usa celery product of usa no. 1 grade,$1.79,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12823157/3dd9730e-380f-11ec-945e-0e7faade0358/medium,,FALSE,"['celery', 'spinach']",1.79,Kingston
87,spinach,produce,Bunch spinach product of usa celery product of usa no. 1 grade,$1.79,FreshCo,https://cdn.flippenterprise.net/page_item_supplemental_infos/240331949/1635946112/medium,,FALSE,"['celery', 'spinach']",1.79,Kingston
88,christie snack packs,none,Christie snack packs,$1.87,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333103/1635947177/medium,save up to 62¢,FALSE,['christie snack packs'],1.87,Kingston
89,raspberries,produce,170 g raspberries or blackberries,$1.87,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240332995/1635946575/medium,,FALSE,"['raspberries', 'blackberries']",1.87,Kingston
90,sunkist snack packs,none,Sunkist snack packs,$1.87,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333105/1635933755/medium,save up to 63¢,FALSE,['sunkist snack packs'],1.87,Kingston
91,"maple leaf flakes, 156 g",none,"Maple leaf flakes, 156 g",$1.87,No Frills,https://cdn.flippenterprise.net/page_pdf_images/12829393/d6f32eca-38c0-11ec-8729-0efae983d694/medium,,FALSE,"['maple leaf flakes, 156 g']",1.87,Kingston
92,blackberries,produce,170 g raspberries or blackberries,$1.87,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240332996/1635933629/medium,,FALSE,"['raspberries', 'blackberries']",1.87,Kingston
93,"yoplait tubes 8-pack, minigo 6-pack or source 650 g yogurt",meat,"Yoplait tubes 8-pack, minigo 6-pack or source 650 g yogurt",$1.87,Walmart,https://cdn.flippenterprise.net/page_pdf_images/12823094/43e494d6-380f-11ec-9f77-0e1ba86a8db4/medium,rollback,FALSE,"['yoplait tubes 8-pack, minigo 6-pack or source 650 g yogurt']",1.87,Kingston
94,raspberries,produce,170 g raspberries,$1.87,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240332995/1635946575/medium,,FALSE,['raspberries'],1.87,Kingston
95,annie's mac or cheese,meat,Annie's mac or cheese,$1.88,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333117/1635946628/medium,save 39¢,FALSE,"[""annie's mac or cheese""]",1.88,Kingston
